n_total,historic_static_mean,historic_dynamic_mean,multiplier,static_prop_sim,dynamic_prop_sim,n_static,n_dynamic,city
101,0.7832369942196532,0.21676300578034682,0.9523224268498633,0.7458941551338525,0.2541058448661475,75,26,1
120,0.8284313725490197,0.1715686274509804,0.9596982286828247,0.7950441208205754,0.2049558791794246,95,25,1004
19,0.6818181818181818,0.3181818181818182,1.062845148118856,0.7246671464446746,0.27533285355532544,14,5,126
344,0.6882453151618398,0.31175468483816016,0.9183831884270194,0.6320729269582893,0.3679270730417107,217,127,149
5,0.3125,0.6875,1.0200201051931308,0.3187562828728534,0.6812437171271466,2,3,150
1,1.0,0.0,1.045712105362359,1.0,0.0,1,0,830
10,0.5151515151515151,0.48484848484848486,0.9375802146733208,0.48299586816504403,0.517004131834956,5,5,844
