city,date,batch_id,batch_start,batch_end,decision_time,n_services,best_iter,best_objective,processing_time_s,num_inserted
1004,2025-07-21,16,2025-07-21 14:00:00-05:00,2025-07-21 14:30:00-05:00,2025-07-21 14:30:00-05:00,0,,,0.0,
1004,2025-07-21,17,2025-07-21 14:30:00-05:00,2025-07-21 15:00:00-05:00,2025-07-21 15:00:00-05:00,0,,,0.0,
1004,2025-07-21,18,2025-07-21 15:00:00-05:00,2025-07-21 15:30:00-05:00,2025-07-21 15:30:00-05:00,1,1.0,180.29,30.7,1.0
149,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0,
149,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0,
149,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,1,5.0,318.03,84.3,1.0
149,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,1,10.0,318.03,86.7,1.0
149,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,2,6.0,561.77,143.8,3.0
149,2025-07-22,6,2025-07-22 09:00:00-05:00,2025-07-22 09:30:00-05:00,2025-07-22 09:30:00-05:00,0,,,0.0,
149,2025-07-22,7,2025-07-22 09:30:00-05:00,2025-07-22 10:00:00-05:00,2025-07-22 10:00:00-05:00,3,532.0,590.61,220.2,3.0
149,2025-07-22,8,2025-07-22 10:00:00-05:00,2025-07-22 10:30:00-05:00,2025-07-22 10:30:00-05:00,0,,,0.0,
149,2025-07-22,9,2025-07-22 10:30:00-05:00,2025-07-22 11:00:00-05:00,2025-07-22 11:00:00-05:00,2,127.0,603.81,156.0,2.0
149,2025-07-22,10,2025-07-22 11:00:00-05:00,2025-07-22 11:30:00-05:00,2025-07-22 11:30:00-05:00,3,211.0,623.72,214.4,3.0
149,2025-07-22,11,2025-07-22 11:30:00-05:00,2025-07-22 12:00:00-05:00,2025-07-22 12:00:00-05:00,2,26.0,640.47,153.4,2.0
149,2025-07-22,12,2025-07-22 12:00:00-05:00,2025-07-22 12:30:00-05:00,2025-07-22 12:30:00-05:00,2,13.0,651.12,157.5,2.0
149,2025-07-22,13,2025-07-22 12:30:00-05:00,2025-07-22 13:00:00-05:00,2025-07-22 13:00:00-05:00,1,15.0,655.51,94.4,1.0
149,2025-07-22,14,2025-07-22 13:00:00-05:00,2025-07-22 13:30:00-05:00,2025-07-22 13:30:00-05:00,0,,,0.0,
149,2025-07-22,15,2025-07-22 13:30:00-05:00,2025-07-22 14:00:00-05:00,2025-07-22 14:00:00-05:00,1,14.0,662.42,95.1,1.0
149,2025-07-22,16,2025-07-22 14:00:00-05:00,2025-07-22 14:30:00-05:00,2025-07-22 14:30:00-05:00,1,26.0,667.77,92.2,1.0
149,2025-07-22,17,2025-07-22 14:30:00-05:00,2025-07-22 15:00:00-05:00,2025-07-22 15:00:00-05:00,1,5.0,676.18,92.0,1.0
1004,2025-07-22,1,2025-07-22 00:00:00-05:00,2025-07-22 07:00:00-05:00,2025-07-22 07:00:00-05:00,0,,,0.0,
1004,2025-07-22,2,2025-07-22 07:00:00-05:00,2025-07-22 07:30:00-05:00,2025-07-22 07:30:00-05:00,0,,,0.0,
1004,2025-07-22,3,2025-07-22 07:30:00-05:00,2025-07-22 08:00:00-05:00,2025-07-22 08:00:00-05:00,0,,,0.0,
1004,2025-07-22,4,2025-07-22 08:00:00-05:00,2025-07-22 08:30:00-05:00,2025-07-22 08:30:00-05:00,0,,,0.0,
1004,2025-07-22,5,2025-07-22 08:30:00-05:00,2025-07-22 09:00:00-05:00,2025-07-22 09:00:00-05:00,1,3.0,90.27,29.2,1.0
1004,2025-07-22,6,2025-07-22 09:00:00-05:00,2025-07-22 09:30:00-05:00,2025-07-22 09:30:00-05:00,0,,,0.0,
1004,2025-07-22,7,2025-07-22 09:30:00-05:00,2025-07-22 10:00:00-05:00,2025-07-22 10:00:00-05:00,1,1.0,87.92,32.1,1.0
1004,2025-07-22,8,2025-07-22 10:00:00-05:00,2025-07-22 10:30:00-05:00,2025-07-22 10:30:00-05:00,1,8.0,93.15,33.6,3.0
1004,2025-07-22,9,2025-07-22 10:30:00-05:00,2025-07-22 11:00:00-05:00,2025-07-22 11:00:00-05:00,0,,,0.0,
1004,2025-07-22,10,2025-07-22 11:00:00-05:00,2025-07-22 11:30:00-05:00,2025-07-22 11:30:00-05:00,0,,,0.0,
1004,2025-07-22,11,2025-07-22 11:30:00-05:00,2025-07-22 12:00:00-05:00,2025-07-22 12:00:00-05:00,0,,,0.0,
1004,2025-07-22,12,2025-07-22 12:00:00-05:00,2025-07-22 12:30:00-05:00,2025-07-22 12:30:00-05:00,1,1.0,101.53,32.6,1.0
1004,2025-07-22,13,2025-07-22 12:30:00-05:00,2025-07-22 13:00:00-05:00,2025-07-22 13:00:00-05:00,1,2.0,109.24,31.5,1.0
149,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
149,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
149,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
149,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,2,115.0,217.83,120.1,2.0
149,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,3,311.0,257.95,183.3,3.0
149,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,1,9.0,262.79,81.1,1.0
149,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
149,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
149,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0,
149,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,2,65.0,272.83,134.3,2.0
149,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,1,38.0,279.41,81.8,1.0
149,2025-07-23,12,2025-07-23 12:00:00-05:00,2025-07-23 12:30:00-05:00,2025-07-23 12:30:00-05:00,1,19.0,281.32,81.6,1.0
149,2025-07-23,13,2025-07-23 12:30:00-05:00,2025-07-23 13:00:00-05:00,2025-07-23 13:00:00-05:00,2,56.0,286.39,136.4,2.0
149,2025-07-23,14,2025-07-23 13:00:00-05:00,2025-07-23 13:30:00-05:00,2025-07-23 13:30:00-05:00,0,,,0.0,
149,2025-07-23,15,2025-07-23 13:30:00-05:00,2025-07-23 14:00:00-05:00,2025-07-23 14:00:00-05:00,1,7.0,293.38,81.9,1.0
149,2025-07-23,16,2025-07-23 14:00:00-05:00,2025-07-23 14:30:00-05:00,2025-07-23 14:30:00-05:00,0,,,0.0,
149,2025-07-23,17,2025-07-23 14:30:00-05:00,2025-07-23 15:00:00-05:00,2025-07-23 15:00:00-05:00,1,9.0,295.92,82.0,1.0
149,2025-07-23,18,2025-07-23 15:00:00-05:00,2025-07-23 15:30:00-05:00,2025-07-23 15:30:00-05:00,0,,,0.0,
149,2025-07-23,19,2025-07-23 15:30:00-05:00,2025-07-23 16:00:00-05:00,2025-07-23 16:00:00-05:00,1,35.0,300.82,85.4,1.0
149,2025-07-23,20,2025-07-23 16:00:00-05:00,2025-07-23 16:30:00-05:00,2025-07-23 16:30:00-05:00,0,,,0.0,
149,2025-07-23,21,2025-07-23 16:30:00-05:00,2025-07-23 17:00:00-05:00,2025-07-23 17:00:00-05:00,1,11.0,305.98,82.9,1.0
1,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
1,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
1,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
1,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,1,1.0,51.01,25.1,1.0
1,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,2,20.0,53.68,41.3,2.0
1,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,2,2.0,57.63,42.7,2.0
1,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
1,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
1,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,3,19.0,77.48,58.3,3.0
1,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,0,,,0.0,
1,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,0,,,0.0,
1,2025-07-23,12,2025-07-23 12:00:00-05:00,2025-07-23 12:30:00-05:00,2025-07-23 12:30:00-05:00,0,,,0.0,
1,2025-07-23,13,2025-07-23 12:30:00-05:00,2025-07-23 13:00:00-05:00,2025-07-23 13:00:00-05:00,1,3.0,86.22,27.1,1.0
126,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
126,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
126,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
126,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,1,1.0,20.47,4.9,3.0
126,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,0,,,0.0,
126,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,0,,,0.0,
126,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
126,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
126,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0,
126,2025-07-23,10,2025-07-23 11:00:00-05:00,2025-07-23 11:30:00-05:00,2025-07-23 11:30:00-05:00,0,,,0.0,
126,2025-07-23,11,2025-07-23 11:30:00-05:00,2025-07-23 12:00:00-05:00,2025-07-23 12:00:00-05:00,1,1.0,20.47,5.2,3.0
1004,2025-07-23,1,2025-07-23 00:00:00-05:00,2025-07-23 07:00:00-05:00,2025-07-23 07:00:00-05:00,0,,,0.0,
1004,2025-07-23,2,2025-07-23 07:00:00-05:00,2025-07-23 07:30:00-05:00,2025-07-23 07:30:00-05:00,0,,,0.0,
1004,2025-07-23,3,2025-07-23 07:30:00-05:00,2025-07-23 08:00:00-05:00,2025-07-23 08:00:00-05:00,0,,,0.0,
1004,2025-07-23,4,2025-07-23 08:00:00-05:00,2025-07-23 08:30:00-05:00,2025-07-23 08:30:00-05:00,0,,,0.0,
1004,2025-07-23,5,2025-07-23 08:30:00-05:00,2025-07-23 09:00:00-05:00,2025-07-23 09:00:00-05:00,0,,,0.0,
1004,2025-07-23,6,2025-07-23 09:00:00-05:00,2025-07-23 09:30:00-05:00,2025-07-23 09:30:00-05:00,2,27.0,136.83,49.4,2.0
1004,2025-07-23,7,2025-07-23 09:30:00-05:00,2025-07-23 10:00:00-05:00,2025-07-23 10:00:00-05:00,0,,,0.0,
1004,2025-07-23,8,2025-07-23 10:00:00-05:00,2025-07-23 10:30:00-05:00,2025-07-23 10:30:00-05:00,0,,,0.0,
1004,2025-07-23,9,2025-07-23 10:30:00-05:00,2025-07-23 11:00:00-05:00,2025-07-23 11:00:00-05:00,0,,,0.0,
