n_total,historic_static_mean,historic_dynamic_mean,multiplier,static_prop_sim,dynamic_prop_sim,n_static,n_dynamic,city
170,0.7375,0.2625,1.0136961687321455,0.7476009244399574,0.2523990755600426,127,43,1
194,0.7197802197802198,0.2802197802197802,0.976978671376387,0.703209922803883,0.29679007719611705,136,58,1004
32,0.4262295081967213,0.5737704918032787,0.9540973523936195,0.4066644452825263,0.5933355547174737,13,19,126
572,0.6001863932898416,0.3998136067101584,0.9516527635528529,0.5711690398210971,0.4288309601789029,327,245,149
7,0.21428571428571427,0.7857142857142857,1.0313270239200272,0.22099864798286295,0.779001352017137,2,5,150
4,0.14285714285714285,0.8571428571428571,1.0412755577277721,0.14875365110396743,0.8512463488960326,1,3,830
21,0.4358974358974359,0.5641025641025641,1.010663577576718,0.44054566202062073,0.5594543379793793,9,12,844
